,Protein,theta,sigma2,alpha,beta,pvalue,Expression_divergence
1,NP_001117651.1,5.848987543,0.007595051,0.715272548,99,0.334495072,0.475610276
2,NP_001117654.1,7.63616119,0.008104908,1.144184027,99,0.404165786,0.393440454
3,NP_001117661.1,7.890894249,0.046093159,0.859041514,12.71554567,0.763895793,0.116965882
4,NP_001117693.1,7.605327706,0.333713174,0.654142265,2.107091179,0.021424442,1.66909048
5,NP_001117703.1,11.25452484,0.001266747,0.398839243,99,0.306941904,0.512943817
6,NP_001117705.1,9.925736731,0.041246028,0.702583741,4.791193512,0.232630526,0.633333297
7,NP_001117706.1,7.489977223,0.018424553,1.297564291,99,0.462045322,0.335315422
8,NP_001117721.1,5.628794626,0.005055385,1.70496402,99,0.66066238,0.180020422
9,NP_001117730.1,7.258937355,0.0929709,0.715550166,5.235527796,0.279988133,0.552860375
10,NP_001117734.1,7.221906089,0.059849462,0.750715134,7.519854693,0.466451338,0.331193657
11,NP_001117765.1,8.991133758,0.26779783,0.673682513,2.902244483,0.072699592,1.138468026
12,NP_001117767.1,6.110273028,0.011193397,1.737419854,99,0.667053285,0.175839473
13,NP_001117781.1,6.239262244,0.040211224,0.772104747,8.345690366,0.530932737,0.274960495
14,NP_001117797.1,6.674065352,0.002040287,0.428604372,99,0.309070235,0.509942818
15,NP_001117801.1,8.589176979,0.007991467,1.582493529,99,0.562958036,0.249523977
16,NP_001117818.1,5.46982058,0.103221985,0.723271366,5.597056482,0.314276369,0.502688273
17,NP_001117820.1,6.30055569,0.004782413,0.733269573,99,0.339181175,0.46956826
18,NP_001117822.1,11.75545664,0.086106699,0.654076014,2.01455177,0.018691386,1.728358494
19,NP_001117830.1,7.991790113,0.013015156,1.59075355,99,0.549148576,0.260310138
20,NP_001117835.1,6.97375478,0.002180496,0.770820891,99,0.340644365,0.467698791
21,NP_001117836.1,10.06659197,0.002672271,1.130956178,99,0.409712564,0.387520718
22,NP_001117842.1,6.942578987,0.015232166,1.169398673,99,0.409774602,0.387454963
23,NP_001117847.1,5.527983798,0.080374408,0.693622742,4.298292927,0.186397115,0.729560814
24,NP_001117848.1,5.486818211,0.094205862,0.810046131,10.76212372,0.669959135,0.173951687
25,NP_001117849.1,6.362914348,0.052803999,0.944055233,17.7043601,0.916101806,0.038056261
26,NP_001117850.1,7.512702095,0.009457301,1.49994273,99,0.539447565,0.268050763
27,NP_001117869.1,6.026183951,0.019243189,0.69526017,99,0.33399492,0.476260139
28,NP_001117888.2,7.517456059,0.006638372,1.146782646,99,0.402532491,0.395199059
29,NP_001117893.1,6.703549627,0.004543564,1.002121929,99,0.374705243,0.42631023
30,NP_001117928.1,14.70588648,0.070579339,0.701655202,4.632748655,0.220161244,0.657259129
31,NP_001117938.1,5.578930408,0.00618991,1.605659857,99,0.56120385,0.250879358
32,NP_001117944.1,10.21163098,0.005475236,1.205601496,99,0.422495383,0.374178033
33,NP_001117945.1,10.66567223,0.00149106,1.366363528,99,0.47119917,0.326795483
34,NP_001117950.1,8.500309071,0.007191966,1.568053457,99,0.588273427,0.230420769
35,NP_001117953.1,6.259723056,0.003479392,0.73507593,99,0.340909974,0.467360292
36,NP_001117954.1,8.587844088,0.065919137,0.876132747,14.02956722,0.810513784,0.091239595
37,NP_001117962.1,8.299375556,0.006025497,0.986983776,99,0.370263173,0.431489481
38,NP_001117963.1,8.484110993,0.073416711,0.802182677,10.5302814,0.656055493,0.183059424
39,NP_001117964.1,6.507614238,0.040283085,0.751228127,6.857405355,0.426937223,0.369635979
40,NP_001117966.1,6.740398603,0.175450533,0.734530209,6.558034627,0.391043275,0.407775179
41,NP_001117971.1,6.955934927,0.011479313,0.990426696,22.18520073,0.99747619,0.001097462
42,NP_001117973.1,8.409535423,0.005020793,1.703142377,99,0.637668019,0.195405364
43,NP_001117980.1,8.564865601,0.003923369,0.942183734,99,0.372344054,0.429055577
44,NP_001117983.1,9.851836838,0.021223323,0.927798488,17.90262991,0.918673413,0.036838852
45,NP_001117992.1,8.729257303,0.021667666,1.656702571,99,0.594033668,0.22618894
46,NP_001117996.1,9.337094698,0.008740344,1.123663455,99,0.396016262,0.40228698
47,NP_001118003.1,5.550020918,0.002120776,0.769131997,99,0.341705564,0.46634795
48,NP_001118011.1,5.839964321,0.100054668,0.655148984,2.099228188,0.021825329,1.661039201
49,NP_001118043.1,6.254967122,0.03655706,0.790960333,8.623450808,0.560055489,0.251768942
50,NP_001118061.1,8.76521715,0.007910748,1.277802103,99,0.454630059,0.342341853
51,NP_001118075.1,8.557337778,0.027445041,1.199647139,37.26548832,0.845745911,0.072760093
52,NP_001118078.1,6.311482178,0.102522383,0.753314419,7.091269529,0.443166638,0.353432941
53,NP_001118080.1,7.752838563,0.009949855,1.131537964,99,0.400722864,0.397155877
54,NP_001118082.2,5.813927535,0.07072569,0.769868937,8.799436516,0.553444865,0.256925638
55,NP_001118089.1,6.251066665,0.008432804,1.655431042,99,0.642142984,0.192368258
56,NP_001118095.1,5.361146848,0.199370057,0.641596127,1.463689572,0.003693211,2.43259588
57,NP_001118100.1,8.369546074,0.00125098,0.808257103,99,0.34554232,0.461498755
58,NP_001118106.1,6.696989903,0.036539207,0.888821549,14.32649152,0.822514277,0.084856555
59,NP_001118108.1,7.165588272,0.004046637,1.568477583,99,0.537351806,0.269741287
60,NP_001118126.1,6.40169057,0.044485664,0.935000153,20.07418735,0.964010578,0.015918201
61,NP_001118127.1,7.52060763,0.006493687,1.009524174,99,0.384754272,0.414816549
62,NP_001118144.1,5.762163636,0.004880272,1.324461385,99,0.452725975,0.344164587
63,NP_001118146.1,7.585489279,0.005203106,0.806485648,99,0.349152294,0.4569851
64,NP_001118163.1,6.075713044,0.014287537,1.532608472,99,0.525035064,0.279811692
65,NP_001118167.1,5.866018274,0.016667476,1.436126403,62.8397522,0.742088483,0.129544308
66,NP_001118187.1,10.5256866,0.06931142,0.864145592,13.34124936,0.785881515,0.104642926
67,NP_001118193.1,5.70766788,0.027050159,1.505715434,99,0.535469648,0.271265141
68,NP_001118202.1,9.271354422,0.021254101,0.739150928,6.650188011,0.401686915,0.396112315
69,NP_001118203.1,7.751293587,0.077010333,0.746237008,6.549021887,0.402692094,0.395026897
70,NP_001118207.1,10.44407333,0.248661025,0.655514534,2.112647361,0.022443247,1.648914311
71,NP_001118215.1,5.847524174,0.068994671,0.839978199,12.57389885,0.752237072,0.123645267
72,NP_001118216.1,5.7548943,0.021590977,1.12921976,31.73737392,0.885763949,0.052682
73,NP_001118218.1,8.688186997,0.00494464,1.303844535,99,0.442288717,0.35429414
74,NP_001118221.1,7.688025404,0.008441177,1.446985718,99,0.486734642,0.312707743
75,NP_001118225.1,5.856715156,0.010982887,1.171371847,34.20658215,0.867635897,0.061662488
76,NP_001123454.1,7.873135998,0.010570293,0.890420849,16.30206034,0.876085035,0.057453738
77,NP_001123460.1,7.42227777,0.006780657,1.397389773,99,0.476261991,0.322154077
78,NP_001129167.1,7.34416049,0.016420492,1.713638789,99,0.623175627,0.205389541
79,NP_001139638.1,5.550341254,0.11868535,0.686345958,3.827278499,0.144644823,0.839697106
80,NP_001153784.1,6.504268558,0.009924612,1.35119641,53.36455616,0.769481335,0.11380191
81,NP_001153948.1,5.558604617,0.003537377,1.005962419,99,0.379946264,0.420277822
82,NP_001153949.1,5.641739306,0.03907187,0.681130883,3.558035218,0.120422504,0.919292347
83,NP_001153996.1,7.15319921,0.00219795,0.422209476,99,0.308804443,0.51031646
84,NP_001154007.1,6.505519588,0.004931355,1.002193697,99,0.380530555,0.419610465
85,NP_001154008.1,7.476760152,0.006663988,0.793513915,99,0.347697384,0.458798577
86,NP_001154026.1,6.601260479,0.011777976,0.787097231,9.706239825,0.610103809,0.214596264
87,NP_001154028.1,8.22471811,0.003060694,1.245255919,99,0.444457999,0.352169273
88,NP_001154029.1,8.286614233,0.001502293,0.635371315,99,0.32627328,0.486418491
89,NP_001154037.1,11.19345206,0.004823095,1.420462134,99,0.476550845,0.321890756
90,NP_001154041.1,6.725154928,0.043825581,0.833467902,12.89399067,0.761235413,0.118481016
91,NP_001154046.1,5.769009155,0.008500782,1.632530558,99,0.63564652,0.196784326
92,NP_001154073.1,9.204591717,0.003647712,0.912425907,99,0.360778546,0.442759296
93,NP_001154079.1,6.101380714,0.019422278,0.852859475,14.16122494,0.808460056,0.092341433
94,NP_001154080.1,6.034214885,0.004748563,1.733127679,99,0.668515237,0.17488869
95,NP_001154091.1,7.042426765,0.006147817,0.982481898,99,0.377774757,0.422767065
96,NP_001154102.1,7.326792946,0.00810578,1.617727194,99,0.565771957,0.247358583
97,NP_001154111.1,9.306159087,0.004263683,1.332057951,99,0.473248717,0.324910555
98,NP_001154115.1,7.974251011,0.005356662,0.576576615,99,0.321037681,0.49344399
99,NP_001154116.1,7.370015813,0.007368803,1.542045121,99,0.558801147,0.252742711
100,NP_001154122.1,7.528651074,0.08225572,0.728289808,5.473299274,0.312050332,0.505775351
101,NP_001154124.1,11.22620466,0.011047031,1.085783088,30.59528552,0.89297016,0.049163054
102,NP_001154132.1,6.250891958,0.002408597,0.458255778,99,0.312676368,0.504904941
103,NP_001154135.1,11.73242684,0.009176167,1.038251023,27.99360462,0.918119788,0.037100652
104,NP_001154159.1,8.174535474,0.004655129,1.608841646,99,0.58383338,0.233711078
105,NP_001154164.1,8.06571944,0.031489785,0.709015463,5.154027468,0.266341945,0.574560433
106,NP_001158512.1,11.77374019,0.007145456,1.360369496,99,0.480873221,0.317969407
107,NP_001158513.1,6.612060023,0.012351256,1.729681459,99,0.638670429,0.194723192
108,NP_001158517.1,8.510820036,0.024278723,0.912313249,15.79215977,0.866774156,0.062094046
109,NP_001158519.1,10.12182204,0.141250697,0.670139442,2.651279111,0.056034704,1.251542918
110,NP_001158525.1,7.104552326,0.004097618,0.748575569,99,0.337984846,0.471102771
111,NP_001158534.1,6.959368795,0.031335251,0.810376573,10.17721827,0.645192417,0.190310746
112,NP_001158537.1,10.2786845,0.01114258,0.704983826,4.841139785,0.239149583,0.621330372
113,NP_001158539.1,7.638181562,0.003615517,0.879775456,99,0.355997404,0.448553169
114,NP_001158543.1,8.715349524,0.016031133,1.007332591,22.12888541,0.998428769,0.000682914
115,NP_001158544.1,8.688784991,0.002647867,0.629239933,99,0.325409757,0.487569429
116,NP_001158546.1,5.959397979,0.00091434,0.35114387,99,0.303624004,0.517663897
117,NP_001158588.1,10.37720804,0.003766109,0.816686175,99,0.350585001,0.455206668
118,NP_001158592.1,6.607198841,0.023180355,0.927706443,19.56426353,0.953614896,0.020626974
119,NP_001158614.1,6.203652543,0.072278525,0.840243396,11.50632124,0.71385783,0.146388273
120,NP_001158623.1,6.684197795,0.006104143,1.208902782,99,0.426482487,0.370098798
121,NP_001158625.1,6.380838828,0.052225092,0.811377372,11.45875911,0.699250431,0.155367257
122,NP_001158628.1,12.96719955,0.036818438,0.74572153,7.06898562,0.434498735,0.362011484
123,NP_001158633.1,6.850772195,0.002887107,0.501265015,99,0.31635256,0.499828647
124,NP_001158659.1,8.266928948,0.011081319,1.387486964,99,0.483593836,0.315519243
125,NP_001158680.1,6.635842104,0.047109417,0.943863444,18.21609534,0.926969828,0.032934402
126,NP_001158696.1,11.72708869,0.010356368,1.35359323,99,0.46996052,0.327938624
127,NP_001158702.1,7.898778498,0.012516803,0.756582971,6.963765138,0.438838414,0.357695363
128,NP_001158717.1,6.427582829,0.015574805,1.138397809,34.90345837,0.857559535,0.06673572
129,NP_001158718.1,7.632858054,0.004694481,0.735691799,99,0.338800915,0.470055425
130,NP_001158723.1,7.261217503,0.009161906,1.72199268,99,0.675765005,0.170204302
131,NP_001165326.1,11.88697734,0.090552586,0.696237364,4.245063753,0.185904755,0.730709502
132,NP_001165565.1,7.148983963,0.012681595,0.771493379,7.641566456,0.492132313,0.307918119
133,NP_001165969.1,8.697766888,0.10894673,0.732573596,6.045260404,0.355235287,0.4494839
134,NP_001166000.1,8.364143808,0.014980497,0.976395865,22.70272077,0.988962675,0.004820099
135,NP_001180254.1,7.023081546,0.052246878,1.071738786,31.0616478,0.886787303,0.052180534
136,NP_001182092.1,7.86420278,0.000768861,0.311735352,99,0.301644998,0.520503872
137,NP_001182108.1,8.337442772,0.019005102,1.769943657,99,0.675264333,0.170526189
138,NP_001184139.1,5.892451668,0.007861561,1.520869327,99,0.560178116,0.251673861
139,NP_001184143.1,9.920604614,0.043410466,0.680044285,3.080503492,0.089799588,1.046725656
140,NP_001233254.1,8.294849019,0.01020041,1.264910015,99,0.436142714,0.360371378
141,NP_001233255.1,9.591213831,0.038229948,0.672176062,3.112286842,0.082700874,1.082489901
142,NP_001233263.1,6.304254738,0.118864197,0.71393458,4.911956137,0.255384274,0.592805849
143,NP_001265864.1,8.276251976,0.003371008,0.310254782,99,0.300292107,0.522456083
144,NP_001268237.1,7.893753843,0.001495927,1.551583827,99,0.561802149,0.250416604
145,NP_001268283.1,6.335173785,0.008517457,1.511365324,99,0.533979844,0.272475136
146,NP_001268287.1,6.32331272,0.012065692,1.381595845,99,0.490852932,0.309048611
147,NP_001268298.1,7.579285694,0.01095303,1.510496268,99,0.520676467,0.283432051
148,NP_001268307.1,6.335994584,0.05046102,0.72106403,5.496269631,0.30475658,0.516046909
149,NP_001268311.1,7.92753216,0.006693481,0.739840943,99,0.340494368,0.467890067
