Protein,Desert_1,Cold_Montane_1,Cool_Montane_1,Desert_2,Cold_Montane_2,Desert_3,Cool_Montane_2,Cool_Montane_3,Desert_4,Cold_Montane_3,Desert_5,Cool_Montane_4,Desert_6,Desert_7,Cold_Montane_4,Desert_8,Cool_Montane_5,Cool_Montane_6,Desert_15,Cold_Montane_5,Desert_9,Cool_Montane_7,Cool_Montane_8,Desert_10,Cool_Montane_9,Cold_Montane_6,Cool_Montane_10,Desert_11,Cold_Montane_10,Cold_Montane_7,Cold_Montane_8,Cool_Montane_11,Desert_12,Cold_Montane_9,Cold_Montane_14,Cool_Montane_12,Desert_13,Cold_Montane_11,Cold_Montane_12,Cool_Montane_13,Desert_14,Cold_Montane_13
NP_001118011.1,5.646551158,6.457348925,6.034548185,5.533177093,4.891994922,4.891994922,5.202031997,5.654082276,5.516244541,6.405212674,5.662554351,5.814101061,5.497418854,5.579153213,6.447383312,5.85998929,5.820534543,5.927623776,5.518130446,5.625586071,5.631927344,4.891994922,5.380554615,5.548156281,5.50078137,5.991795181,5.545045952,5.598644308,6.360210474,7.080612449,6.17712211,6.092936743,5.58324874,6.667618856,6.577976072,6.41365095,5.945061008,6.296659386,6.418048363,6.031022158,5.339919356,6.077601026
NP_001118207.1,11.52912136,10.55730453,10.24408269,10.87158149,9.093766026,11.96093079,10.35760005,10.26507745,10.90006303,9.709943157,11.53556918,8.422953687,10.73808222,10.92675206,11.47843246,10.87822652,9.481840341,11.01712224,11.24031047,10.49704194,10.54729707,9.032271171,10.60389126,10.7314592,10.05110944,10.58547304,9.051272338,10.88837427,9.359859944,10.65226326,10.86672652,10.06706842,10.9598989,10.17113045,10.98020901,10.00481924,11.45268473,9.750086157,10.69880169,10.9999311,10.97183982,9.480891773
XP_021413100.1,8.551323024,8.737195391,8.553846945,8.545941801,8.195280725,8.862183255,8.948248679,8.723719199,8.439072381,8.947121719,8.329438797,8.593614522,8.36854353,8.667225312,8.127647828,8.796177496,8.903601182,8.507770392,8.358107923,8.065436436,8.498386974,9.604090256,8.644811906,8.518876789,8.992861487,8.137424514,9.107551326,8.617457435,8.576844413,8.394840129,8.237315472,8.632013968,8.482869475,8.423767465,8.467979569,9.079366771,8.617270621,8.679962129,8.231620819,8.469097636,8.390877468,8.232833861
XP_021413104.1,5.872273179,6.165880501,5.640511435,6.674930212,4.891994922,6.488455223,6.495368922,6.280187228,7.001876492,6.048441798,6.639388588,6.063222712,6.527920021,6.876161908,5.985079138,6.103598006,5.983499718,6.429128164,6.98780985,6.605782684,6.922468246,4.891994922,6.364053164,6.668877707,6.139281965,6.374323204,6.307318448,6.143571088,5.726716252,6.096475138,4.891994922,6.139178588,7.150902785,5.27661604,5.389033166,6.299827008,6.371126271,5.627801153,5.754464952,7.064271837,6.438402777,5.680337662
XP_021413269.1,10.03574654,10.31135528,9.608804484,9.463014566,9.875107998,9.714718647,9.311637734,9.536239837,9.738922453,10.52883146,9.326506615,9.907592025,9.976177871,9.134323929,9.925395449,9.452419816,9.669708991,9.509486899,9.196856239,10.09407175,9.25290901,9.377463156,9.782480662,9.797626134,10.19419724,10.11477764,9.853029403,9.144308152,10.37595717,10.02527352,9.998943097,9.479131824,9.868167397,9.945718421,10.07691426,9.775115822,9.135997146,9.617447741,9.942522068,9.894658107,9.187320107,9.908797273
XP_021413307.1,7.260613547,9.2481844,8.32109727,7.891851131,10.37253909,7.204869133,8.767877875,8.822038211,7.343091499,9.762942616,7.749992909,9.814769772,8.113387604,8.824260166,8.043585684,8.544565488,9.646950722,9.072145618,7.982087165,8.310235421,8.718316374,9.604090256,8.489647041,9.102915112,8.665350562,8.514906662,9.494993715,7.789342668,7.869732929,8.709228975,8.080944867,9.72524993,7.655440806,8.957235185,8.159224361,9.238834021,7.846369467,9.391077251,9.434890444,8.593842822,8.663068496,9.829271502
XP_021413353.2,11.13963501,9.763724819,10.72306789,11.20203072,10.47211912,12.88986029,11.21372805,11.08880083,11.23897031,10.66820979,12.97935861,11.08987501,11.90857689,12.94146527,10.18852284,12.43212174,12.06804699,10.90960805,11.74262355,9.368620505,12.87181331,13.08667933,10.86715299,11.00372905,10.49076417,11.19940135,12.45672672,11.62004786,10.92773098,10.4419527,9.375592832,11.24166894,12.33481749,9.970373199,9.079279033,10.72611867,12.34660333,10.67613042,11.65206415,11.59205621,10.49938944,9.305133483
XP_021413539.2,8.338672092,6.883835723,7.585792346,8.177920258,7.229743054,8.568535495,8.275286229,7.405180006,8.582876977,6.657583827,8.591455001,7.245513806,8.502158501,8.465896697,8.486168761,8.633457045,6.616739638,7.601446231,9.338942408,8.207705388,8.241344217,4.891994922,8.261039669,8.188468906,6.916105393,8.23313312,6.605276532,9.208712071,7.901406485,8.077695077,8.455034347,7.961375197,8.257071981,7.654541621,8.40069274,6.313070579,8.91321412,6.411156215,7.871372239,8.562681461,9.128877358,6.794727428
XP_021413804.2,7.579540433,8.019376496,7.751506674,7.373775112,7.756785165,8.037692495,6.601504378,7.449134877,7.631957065,8.050410064,7.536863985,7.731026315,7.953652463,7.812377623,8.190351684,7.104563366,7.677041344,7.815822595,7.891575825,8.47555853,7.734094,7.105243333,7.260473632,8.051970236,7.658565387,7.756611807,7.877132411,7.670310394,7.52393458,8.116658047,8.384967153,7.207953193,7.05135364,7.815709692,8.353996662,6.364498908,7.561790012,8.066423411,7.649204046,7.743231551,7.273025863,8.027932813
XP_021413875.1,6.757726666,5.789002396,6.161679567,6.731086285,4.891994922,6.473850382,6.612731541,6.598804786,6.59325273,6.13592004,6.862682693,6.339389314,6.762465648,6.94434833,6.488417858,6.561529283,6.531354017,6.919534496,7.303374563,6.034362089,7.235150311,4.891994922,6.80757648,6.942933927,6.355561388,6.354075932,6.431271557,6.441199098,5.748947808,6.096475138,5.757378435,6.608215989,7.342883262,5.699726798,5.842014578,7.07271582,6.69915694,6.474638347,5.599617489,6.942435033,7.186452905,5.267205765
