Salar,Ohno_annot_binary
NP_001116996.1,0
NP_001116998.1,0
NP_001116999.1,0
NP_001117000.1,0
NP_001117002.1,0
NP_001117003.1,0
NP_001117004.1,0
NP_001117005.1,0
NP_001117006.1,0
NP_001117007.1,0
NP_001117009.1,0
NP_001117010.1,0
NP_001117012.1,0
NP_001117013.1,0
NP_001117014.1,0
NP_001117015.1,0
NP_001117017.1,0
NP_001117019.1,0
NP_001117021.1,1
NP_001117023.1,0
NP_001117024.1,0
NP_001117025.1,0
NP_001117026.1,1
NP_001117027.1,0
NP_001117028.1,0
NP_001117029.2,0
NP_001117030.1,0
NP_001117032.1,0
NP_001117033.1,0
NP_001117034.1,1
NP_001117035.1,0
NP_001117036.1,0
NP_001117037.1,0
NP_001117038.1,1
NP_001117039.1,0
NP_001117040.1,1
NP_001117041.1,0
NP_001117042.1,0
NP_001117043.1,0
NP_001117044.1,0
NP_001117047.1,0
NP_001117048.1,1
NP_001117049.1,0
NP_001117050.1,0
NP_001117051.1,0
NP_001117053.1,0
NP_001117056.1,0
NP_001117057.1,0
NP_001117059.1,0
NP_001117060.1,0
NP_001117061.1,1
NP_001117062.1,1
NP_001117063.1,0
NP_001117064.1,0
NP_001117065.1,0
NP_001117066.1,1
NP_001117067.1,0
NP_001117069.1,1
NP_001117070.1,1
NP_001117071.1,0
NP_001117072.1,0
NP_001117073.1,1
NP_001117074.1,0
NP_001117075.1,0
NP_001117076.1,0
NP_001117077.1,0
NP_001117078.1,0
NP_001117079.1,0
NP_001117083.1,1
NP_001117085.1,0
NP_001117086.1,1
NP_001117088.1,0
NP_001117089.1,0
NP_001117090.1,1
NP_001117091.2,0
NP_001117092.1,0
NP_001117093.1,0
NP_001117094.1,0
NP_001117096.1,0
NP_001117097.1,0
NP_001117098.1,0
NP_001117099.1,1
NP_001117101.1,0
NP_001117103.1,0
NP_001117104.1,1
NP_001117105.1,0
NP_001117106.1,1
NP_001117108.1,0
NP_001117109.1,0
NP_001117111.1,0
NP_001117112.1,0
NP_001117115.1,0
NP_001117116.1,0
NP_001117117.1,0
NP_001117118.1,0
NP_001117119.1,0
NP_001117120.1,0
NP_001117121.1,1
NP_001117122.1,0
NP_001117123.1,0
NP_001117129.1,0
NP_001117130.1,0
NP_001117131.1,0
NP_001117132.1,1
NP_001117133.1,0
NP_001117134.1,0
NP_001117137.1,0
NP_001117138.1,0
NP_001117139.1,0
NP_001117140.1,0
NP_001117141.1,0
NP_001117142.1,0
NP_001117143.1,0
NP_001117144.1,0
NP_001117145.1,0
NP_001117146.1,0
NP_001117147.1,1
NP_001117148.1,0
NP_001117150.1,1
NP_001117151.1,1
NP_001117153.1,1
NP_001117156.1,0
NP_001117158.1,0
NP_001117159.1,0
NP_001117161.1,1
NP_001117162.1,1
NP_001117163.1,0
NP_001117164.1,0
NP_001117166.1,0
NP_001117167.1,0
NP_001117168.1,1
NP_001117169.1,0
NP_001117170.1,0
NP_001117171.1,0
NP_001117174.1,1
NP_001117176.1,0
NP_001117177.1,0
NP_001117178.1,0
NP_001117179.1,0
NP_001117180.1,0
NP_001117181.1,0
NP_001117182.1,0
NP_001117186.1,1
NP_001117187.1,0
NP_001117188.1,0
NP_001117189.1,0
NP_001117190.1,0
NP_001117192.1,0
NP_001117194.1,0
NP_001117195.1,0
NP_001117196.1,0
NP_001117197.1,1
NP_001117198.1,1
NP_001117199.1,0
NP_001117203.1,0
NP_001119702.1,0
NP_001119704.1,0
NP_001122076.1,0
NP_001124326.1,0
NP_001124328.1,0
NP_001124470.1,0
NP_001130017.1,0
NP_001130018.1,1
NP_001130019.1,0
NP_001130020.1,0
NP_001130021.1,0
NP_001130022.1,0
NP_001130023.1,0
NP_001130024.1,0
NP_001130025.1,0
NP_001132994.1,0
NP_001132995.1,0
NP_001132996.1,0
NP_001132997.1,0
NP_001132998.1,0
NP_001132999.1,0
NP_001133000.1,0
NP_001133001.1,0
NP_001133002.1,0
NP_001133003.1,0
NP_001133004.1,0
NP_001133005.1,0
NP_001133007.1,0
NP_001133008.1,0
NP_001133009.1,0
NP_001133010.1,1
NP_001133011.1,0
NP_001133012.1,0
NP_001133013.1,0
NP_001133014.1,0
NP_001133015.1,1
NP_001133016.1,1
NP_001133018.1,0
NP_001133019.1,0
NP_001133020.1,0
NP_001133021.1,0
NP_001133022.1,0
NP_001133023.1,0
NP_001133024.1,0
NP_001133025.1,0
NP_001133026.1,0
NP_001133027.1,0
NP_001133028.1,0
NP_001133029.1,0
NP_001133030.1,0
NP_001133031.1,0
NP_001133032.1,0
NP_001133033.1,0
NP_001133034.1,0
NP_001133035.1,0
NP_001133036.1,0
NP_001133037.1,0
NP_001133038.1,0
NP_001133039.1,0
NP_001133040.1,0
NP_001133041.1,0
NP_001133042.1,0
NP_001133043.1,0
NP_001133044.1,0
NP_001133045.1,0
NP_001133046.1,0
NP_001133047.1,0
NP_001133050.1,0
NP_001133051.1,0
NP_001133052.1,0
NP_001133053.1,0
NP_001133054.1,0
NP_001133055.1,1
NP_001133058.1,1
NP_001133059.1,1
NP_001133060.1,1
NP_001133061.1,0
NP_001133064.1,0
NP_001133065.1,0
NP_001133067.1,1
NP_001133069.1,1
NP_001133070.1,0
NP_001133072.1,0
NP_001133073.1,0
NP_001133075.1,0
NP_001133076.1,0
NP_001133078.1,0
NP_001133079.1,0
NP_001133080.1,0
NP_001133081.1,0
NP_001133082.1,0
NP_001133084.1,0
NP_001133085.1,0
NP_001133087.1,0
NP_001133088.1,0
NP_001133089.1,0
NP_001133091.1,0
NP_001133092.1,0
NP_001133094.1,0
NP_001133095.1,0
NP_001133096.1,0
NP_001133097.1,0
NP_001133098.1,0
NP_001133099.1,1
NP_001133100.1,1
NP_001133101.1,0
NP_001133102.1,1
NP_001133103.1,0
NP_001133104.1,1
NP_001133106.1,0
NP_001133107.1,0
NP_001133108.1,0
NP_001133109.1,0
NP_001133110.1,1
NP_001133113.1,0
NP_001133114.1,1
NP_001133115.1,0
NP_001133117.1,0
NP_001133119.1,1
NP_001133120.1,0
NP_001133121.1,0
NP_001133122.1,0
NP_001133123.1,0
NP_001133124.1,0
NP_001133125.1,0
NP_001133126.1,1
NP_001133127.1,0
NP_001133128.1,0
NP_001133129.1,1
NP_001133130.1,0
NP_001133131.1,0
NP_001133134.1,0
NP_001133136.1,0
NP_001133137.1,0
NP_001133139.1,0
NP_001133140.1,1
NP_001133141.1,1
NP_001133142.1,0
NP_001133143.1,1
NP_001133145.1,0
NP_001133146.1,0
NP_001133147.1,0
NP_001133148.1,0
NP_001133149.1,1
NP_001133150.1,1
NP_001133152.1,0
NP_001133154.1,1
NP_001133155.1,1
NP_001133156.1,0
NP_001133157.1,0
NP_001133158.1,0
NP_001133159.1,0
NP_001133160.1,1
NP_001133162.1,1
NP_001133163.1,0
NP_001133164.1,1
NP_001133165.1,1
NP_001133166.1,0
NP_001133167.1,0
NP_001133168.1,0
NP_001133169.1,0
NP_001133170.1,0
NP_001133171.1,0
NP_001133172.1,0
NP_001133173.1,1
NP_001133174.1,1
NP_001133175.1,0
NP_001133176.1,0
NP_001133177.1,0
NP_001133178.1,1
NP_001133179.1,1
NP_001133180.1,1
NP_001133181.1,1
NP_001133182.1,0
NP_001133183.1,0
NP_001133184.1,0
NP_001133185.1,0
NP_001133186.1,0
NP_001133187.1,0
NP_001133188.1,0
NP_001133189.1,0
NP_001133191.1,0
NP_001133193.1,0
NP_001133194.1,0
NP_001133195.1,0
NP_001133196.1,0
NP_001133197.1,0
NP_001133198.1,1
NP_001133199.1,1
NP_001133200.1,0
NP_001133201.1,1
NP_001133202.1,1
NP_001133205.1,0
NP_001133206.1,0
NP_001133208.1,0
NP_001133209.1,0
NP_001133210.1,1
NP_001133211.1,1
NP_001133212.1,1
NP_001133213.1,1
NP_001133215.1,1
NP_001133216.1,0
NP_001133218.1,1
NP_001133219.1,0
NP_001133221.1,0
NP_001133222.1,0
NP_001133223.1,0
NP_001133224.1,0
NP_001133227.1,0
NP_001133228.1,0
NP_001133233.1,0
NP_001133234.1,0
NP_001133235.1,0
NP_001133236.1,0
NP_001133238.1,0
NP_001133240.1,0
NP_001133241.1,1
NP_001133242.1,0
NP_001133243.1,1
NP_001133244.1,1
NP_001133245.1,0
NP_001133246.1,0
NP_001133247.1,0
NP_001133248.1,0
NP_001133249.1,0
NP_001133250.1,0
NP_001133251.1,0
NP_001133253.1,0
NP_001133255.1,0
NP_001133257.1,0
NP_001133260.1,0
NP_001133262.1,0
NP_001133263.1,0
NP_001133265.1,0
NP_001133266.1,1
NP_001133267.1,0
NP_001133268.1,0
NP_001133269.1,0
NP_001133270.1,1
NP_001133271.1,0
NP_001133272.1,0
NP_001133273.1,0
NP_001133274.1,1
NP_001133275.1,1
NP_001133276.1,1
NP_001133277.1,0
NP_001133278.1,0
NP_001133279.1,0
NP_001133280.1,0
NP_001133281.1,1
NP_001133283.1,0
NP_001133285.1,0
NP_001133286.1,0
NP_001133287.1,0
NP_001133288.1,0
NP_001133289.1,0
NP_001133291.1,0
NP_001133292.1,0
NP_001133293.1,1
NP_001133296.1,1
NP_001133297.1,0
NP_001133298.1,0
NP_001133299.1,0
NP_001133301.1,0
NP_001133302.1,0
NP_001133303.1,0
NP_001133304.1,1
NP_001133305.1,0
NP_001133306.1,0
NP_001133307.1,0
NP_001133308.1,1
NP_001133309.1,0
NP_001133310.1,0
NP_001133311.1,0
NP_001133312.1,1
NP_001133313.1,0
NP_001133314.1,1
NP_001133315.1,1
NP_001133316.1,0
NP_001133318.1,1
NP_001133320.1,0
NP_001133321.1,1
NP_001133322.1,0
NP_001133323.1,0
NP_001133324.1,1
NP_001133325.1,1
NP_001133326.1,0
NP_001133328.1,0
NP_001133329.1,0
NP_001133330.1,0
NP_001133331.1,1
NP_001133334.1,0
NP_001133335.1,0
NP_001133336.1,0
NP_001133337.1,0
NP_001133338.1,0
NP_001133339.1,1
NP_001133341.1,1
NP_001133342.1,0
NP_001133343.1,0
NP_001133345.1,0
NP_001133346.1,0
NP_001133348.1,0
NP_001133352.1,1
NP_001133353.1,0
NP_001133354.1,0
NP_001133355.1,1
NP_001133356.1,0
NP_001133357.1,0
NP_001133358.1,0
NP_001133359.1,0
NP_001133361.1,1
NP_001133363.1,0
NP_001133365.1,0
NP_001133367.1,0
NP_001133368.1,1
NP_001133370.1,0
NP_001133372.1,1
NP_001133373.1,0
NP_001133375.1,0
NP_001133376.1,0
NP_001133377.1,0
NP_001133378.1,0
NP_001133379.1,1
NP_001133380.1,0
NP_001133381.1,0
NP_001133382.1,0
NP_001133384.1,0
NP_001133385.1,1
NP_001133387.1,0
NP_001133388.1,0
NP_001133389.1,0
NP_001133390.1,0
NP_001133391.1,0
NP_001133392.1,0
NP_001133393.1,1
NP_001133394.1,0
NP_001133395.1,0
NP_001133396.1,0
NP_001133398.1,0
NP_001133400.1,0
NP_001133401.1,0
NP_001133403.1,0
NP_001133404.1,0
NP_001133405.1,0
NP_001133406.1,0
NP_001133409.1,0
NP_001133410.1,0
NP_001133411.1,0
NP_001133412.1,0
NP_001133413.1,0
NP_001133414.1,0
NP_001133415.1,1
NP_001133416.1,0
NP_001133417.1,0
NP_001133419.1,0
NP_001133420.1,0
NP_001133421.1,0
NP_001133422.1,0
NP_001133424.1,0
NP_001133425.1,0
NP_001133426.1,0
NP_001133427.1,1
NP_001133428.1,0
NP_001133429.1,0
NP_001133430.1,1
NP_001133431.1,1
NP_001133432.1,1
NP_001133437.1,0
NP_001133438.1,0
NP_001133439.1,0
NP_001133440.1,1
NP_001133441.1,1
NP_001133442.1,0
NP_001133444.1,1
NP_001133445.1,0
NP_001133447.1,0
NP_001133448.1,0
NP_001133449.1,0
NP_001133450.1,0
NP_001133451.1,0
NP_001133452.1,0
NP_001133453.1,0
NP_001133454.1,1
NP_001133456.1,0
NP_001133458.1,1
NP_001133459.1,0
NP_001133460.1,0
NP_001133461.1,1
NP_001133462.1,0
NP_001133463.1,1
NP_001133464.1,0
NP_001133465.1,0
NP_001133466.1,0
NP_001133467.1,0
NP_001133468.1,0
NP_001133469.1,0
NP_001133471.1,1
NP_001133472.1,0
NP_001133473.1,0
NP_001133474.1,1
NP_001133475.1,0
NP_001133476.1,0
NP_001133477.1,0
NP_001133479.1,0
NP_001133481.1,0
NP_001133482.1,1
NP_001133483.1,0
NP_001133484.1,1
NP_001133485.1,0
NP_001133486.1,1
NP_001133488.1,0
NP_001133489.1,1
NP_001133490.1,0
NP_001133492.1,0
NP_001133493.1,1
NP_001133494.1,1
NP_001133495.1,1
NP_001133496.1,0
NP_001133497.1,0
NP_001133498.1,0
NP_001133500.1,0
NP_001133501.1,0
NP_001133502.1,0
NP_001133503.1,0
NP_001133505.1,0
NP_001133507.1,0
NP_001133509.1,0
NP_001133510.1,1
NP_001133513.1,1
NP_001133514.1,0
NP_001133515.1,0
NP_001133516.1,1
NP_001133518.1,1
NP_001133519.1,1
NP_001133521.1,1
NP_001133523.1,0
NP_001133524.1,0
NP_001133525.1,0
NP_001133526.1,0
NP_001133529.1,0
NP_001133531.1,1
NP_001133532.1,0
NP_001133533.1,0
NP_001133535.1,1
NP_001133539.1,0
NP_001133542.1,0
NP_001133543.1,0
NP_001133544.1,0
NP_001133548.1,0
NP_001133549.1,0
NP_001133550.1,0
NP_001133551.1,0
NP_001133552.1,0
NP_001133553.1,0
NP_001133555.1,0
NP_001133556.1,1
NP_001133559.1,0
NP_001133560.1,0
NP_001133561.1,1
NP_001133562.1,0
NP_001133563.1,1
NP_001133564.1,0
NP_001133565.1,0
NP_001133566.1,0
NP_001133567.1,1
NP_001133568.1,1
NP_001133569.1,0
NP_001133570.1,0
NP_001133574.1,0
NP_001133576.1,0
NP_001133577.1,0
NP_001133578.1,0
NP_001133579.1,0
NP_001133580.1,0
NP_001133581.1,1
NP_001133582.1,0
NP_001133583.1,0
NP_001133584.1,0
NP_001133585.1,0
NP_001133586.1,1
NP_001133587.1,0
NP_001133588.1,0
NP_001133589.1,0
NP_001133590.1,0
NP_001133591.1,0
NP_001133592.1,1
NP_001133593.1,0
NP_001133594.1,0
NP_001133596.1,0
NP_001133598.1,0
NP_001133600.1,0
NP_001133601.1,0
NP_001133604.1,1
NP_001133605.1,0
NP_001133606.1,0
NP_001133607.1,0
NP_001133608.1,1
NP_001133609.1,1
NP_001133610.1,1
NP_001133611.1,0
NP_001133613.1,0
NP_001133614.1,1
NP_001133615.1,0
NP_001133617.1,0
NP_001133618.1,0
NP_001133619.1,0
NP_001133621.1,1
NP_001133622.1,0
NP_001133623.1,0
NP_001133624.1,0
NP_001133626.1,1
NP_001133627.1,1
NP_001133628.1,0
NP_001133630.1,0
NP_001133631.1,0
NP_001133632.1,0
NP_001133633.1,1
NP_001133636.1,0
NP_001133638.1,0
NP_001133639.1,0
NP_001133641.1,0
NP_001133642.1,1
NP_001133643.1,0
NP_001133644.1,0
NP_001133649.1,0
NP_001133650.1,0
NP_001133652.1,0
NP_001133653.1,0
NP_001133654.1,0
NP_001133655.1,0
NP_001133656.1,0
NP_001133657.1,0
NP_001133658.1,0
NP_001133659.1,0
NP_001133661.1,0
NP_001133662.1,0
NP_001133663.1,1
NP_001133664.1,1
NP_001133665.1,0
NP_001133667.1,0
NP_001133668.1,0
NP_001133669.1,0
NP_001133670.1,0
NP_001133671.1,0
NP_001133672.1,0
NP_001133673.1,1
NP_001133674.1,0
NP_001133675.1,1
NP_001133676.1,0
NP_001133677.1,0
NP_001133679.1,1
NP_001133680.1,0
NP_001133681.1,0
NP_001133682.1,1
NP_001133683.1,0
NP_001133684.1,0
NP_001133685.1,0
NP_001133686.1,0
NP_001133687.1,1
NP_001133688.1,1
NP_001133689.1,0
NP_001133690.1,0
NP_001133693.1,1
NP_001133695.1,0
NP_001133696.1,0
NP_001133697.1,0
NP_001133698.1,0
NP_001133699.1,0
NP_001133700.1,1
NP_001133702.1,0
NP_001133703.1,1
NP_001133705.1,0
NP_001133706.1,0
NP_001133707.1,1
NP_001133709.1,0
NP_001133710.1,0
NP_001133712.1,1
NP_001133713.1,0
NP_001133714.1,1
NP_001133716.1,0
NP_001133717.1,0
NP_001133718.1,0
NP_001133719.1,0
NP_001133720.1,0
NP_001133721.1,0
NP_001133722.1,0
NP_001133723.1,1
NP_001133725.1,1
NP_001133727.1,1
NP_001133729.1,1
NP_001133730.1,0
NP_001133731.1,0
NP_001133732.1,0
NP_001133733.1,0
NP_001133734.1,0
NP_001133735.1,0
NP_001133736.1,0
NP_001133738.1,1
NP_001133740.1,0
NP_001133741.1,0
NP_001133742.1,0
NP_001133744.1,0
NP_001133746.1,0
NP_001133749.1,0
NP_001133750.1,0
NP_001133751.1,0
NP_001133752.1,0
NP_001133753.1,0
NP_001133754.1,1
NP_001133755.1,0
NP_001133759.1,0
NP_001133760.1,0
NP_001133762.1,0
NP_001133763.1,0
NP_001133765.1,0
NP_001133766.1,1
NP_001133768.1,0
NP_001133769.1,0
NP_001133770.1,1
NP_001133771.1,1
NP_001133772.1,1
NP_001133775.1,1
NP_001133776.1,0
NP_001133777.1,0
NP_001133779.1,0
NP_001133780.1,0
NP_001133781.1,0
NP_001133783.1,0
NP_001133784.1,0
NP_001133786.1,0
NP_001133788.1,0
NP_001133789.1,0
NP_001133791.1,0
NP_001133792.1,0
NP_001133793.1,0
NP_001133794.1,0
NP_001133795.1,1
NP_001133796.1,0
NP_001133797.1,1
NP_001133798.1,0
NP_001133799.1,0
NP_001133800.1,0
NP_001133801.1,0
NP_001133802.1,1
NP_001133804.1,0
NP_001133805.1,0
NP_001133806.1,0
NP_001133807.1,0
NP_001133808.1,0
NP_001133810.1,0
NP_001133812.1,0
NP_001133813.1,0
NP_001133814.1,1
NP_001133815.1,0
NP_001133818.1,0
NP_001133819.1,0
NP_001133821.1,0
NP_001133822.1,0
NP_001133824.1,0
NP_001133826.1,0
NP_001133827.1,0
NP_001133828.1,0
NP_001133829.1,0
NP_001133830.1,0
NP_001133831.1,1
NP_001133832.1,0
NP_001133834.1,0
NP_001133836.1,0
NP_001133838.1,0
NP_001133839.1,1
NP_001133840.1,1
NP_001133841.1,0
NP_001133842.1,0
NP_001133843.1,1
NP_001133844.1,0
NP_001133848.1,0
NP_001133849.1,0
NP_001133850.1,0
NP_001133851.1,0
NP_001133852.1,0
NP_001133853.1,0
NP_001133854.1,0
NP_001133855.1,0
NP_001133856.1,0
NP_001133857.1,0
NP_001133858.1,0
NP_001133859.1,0
NP_001133860.1,0
NP_001133861.1,1
NP_001133863.1,0
NP_001133866.1,0
NP_001133867.1,0
NP_001133868.1,0
