RNA,Locus
XM_036976852.1,LOC110523811
XM_036976771.1,LOC110523811
XM_036976810.1,LOC110523811
XM_036976717.1,LOC110523811
XM_036976893.1,LOC110523811
XM_021583490.2,sft2d2a
XM_021583381.2,tmem45a
XM_036977095.1,LOC110532027
XM_036977160.1,tbc1d23
XM_036977245.1,tbc1d23
XM_036977209.1,tbc1d23
XM_036977292.1,tbc1d23
XM_036977352.1,LOC118964585
XM_021602630.2,nit2
XM_036977490.1,plcxd1
XM_036977465.1,plcxd1
XM_036977554.1,LOC110520928
XM_036977642.1,LOC110520928
XM_036977605.1,LOC110520928
XM_036977823.1,rp2
XM_036977955.1,rp2
XM_036977914.1,rp2
XM_036977758.1,rp2
XM_036977862.1,rp2
XM_036977717.1,rp2
XM_036977980.1,slc9a7
XM_021584115.2,chst7
XM_036978058.1,tubgcp5
XM_036978300.1,cyfip1
XM_036978398.1,cyfip1
XM_036978346.1,cyfip1
XM_036978157.1,cyfip1
XM_036978109.1,cyfip1
XM_036978210.1,cyfip1
XM_036978261.1,cyfip1
XM_021607727.2,nipa2
XM_021607802.2,nipa2
XM_036978631.1,nipa1
XM_021608020.2,nipa1
XR_005051889.1,LOC118964682
XM_021608164.2,gabrb3
XM_036978985.1,atp10a
XM_036978913.1,atp10a
XM_036979059.1,LOC110520782
XM_036979130.1,LOC110520782
XM_036979098.1,LOC110520782
XM_036979162.1,LOC110520782
XM_036979236.1,LOC110520782
NM_001124315.1,annotated by transcript or proteomic data
XR_005052028.1,tmem131
XM_036979332.1,tmem131
XM_036979391.1,tmem131
XM_036979429.1,tmem131
XM_036979508.1,si:ch211-201h21.5
XM_036979581.1,si:ch211-201h21.5
XM_036979723.1,si:ch211-201h21.5
XM_036979681.1,si:ch211-201h21.5
XM_036979648.1,si:ch211-201h21.5
XM_036979552.1,si:ch211-201h21.5
XM_036979613.1,si:ch211-201h21.5
XM_021608797.2,zgc:172121
XM_036941267.1,nme7
XM_036940834.1,nme7
XM_036941823.1,nme7
NM_001160554.1,annotated by transcript or proteomic data
XM_036979818.1,atp1b1a
XM_036979903.1,dpt
XR_005052082.1,zbtb11
XR_005052094.1,zbtb11
XR_005052101.1,zbtb11
XR_005052106.1,zbtb11
XM_036980048.1,zbtb11
XM_036980129.1,zbtb11
XM_036979967.1,zbtb11
XM_036980170.1,zbtb11
XR_005052171.1,tp63
XM_036980419.1,tp63
XM_036980330.1,tp63
XM_036980381.1,tp63
XM_036980262.1,tp63
XM_036980462.1,tp63
XM_036980532.1,tp63
XM_036980621.1,LOC118964912
XM_021615461.2,LOC110531937
XM_021615446.2,LOC110531934
XM_036980806.1,LOC110523943
XM_036980846.1,LOC110523943
XM_036989269.1,LOC118966169
XM_036980981.1,LOC110518923
XM_036981022.1,LOC110518923
XM_036980905.1,LOC110518923
XM_036980955.1,LOC110518923
XR_005052263.1,LOC118964935
XM_036981138.1,LOC118964935
XM_036989274.1,LOC118966170
XM_036981292.1,bcl6aa
XM_036981414.1,smx5
XR_005052360.1,inpp5d
XM_036981612.1,inpp5d
XM_036981538.1,inpp5d
XR_005052400.1,LOC118965007
XM_036981728.1,LOC118965007
XM_036981833.1,amotl2a
XM_036981812.1,amotl2a
XR_005052490.1,LOC118965227
XM_036981863.1,cep63
XM_036981936.1,cep63
XM_036981844.1,cep63
XM_036982019.1,cep63
trnap,tRNA
trnap,tRNA
XM_021616297.2,im:7152348
XM_036982647.1,LOC110524898
XM_036982599.1,LOC110524898
XM_036982329.1,LOC110524598
XM_036982410.1,LOC110524598
XM_036982495.1,LOC110524598
XM_036982788.1,LOC110524778
XM_036982740.1,LOC110524778
XM_036983052.1,LOC110524992
XM_036983011.1,LOC110524992
XM_036982966.1,LOC110524992
XM_036982857.1,LOC110524992
XM_036982893.1,LOC110524992
XM_036983122.1,crocc2
XM_036983156.1,crocc2
XM_036983271.1,klhl30
XM_036983212.1,klhl30
XM_036983246.1,klhl30
XM_036983799.1,LOC110486761
XM_036983731.1,LOC110486761
XM_036983833.1,LOC110486761
XM_036983574.1,LOC110486761
XM_036983690.1,LOC110486761
XM_036983535.1,LOC110486761
XM_036983490.1,LOC110486761
XM_036983392.1,LOC110486761
XM_036983437.1,LOC110486761
XM_036983653.1,LOC110486761
XM_036983369.1,LOC110486761
XM_036983621.1,LOC110486761
XM_036983324.1,LOC110486761
XM_036983882.1,agxta
XM_036983911.1,agxta
XM_036984050.1,LOC110525986
XM_036984008.1,LOC110525986
XM_036983981.1,LOC110525986
XM_036984107.1,LOC110526196
XM_036984367.1,LOC110526525
XM_036984422.1,LOC110526525
XM_036984452.1,LOC110526525
XM_036984547.1,LOC110526525
XM_036984615.1,LOC110526525
XM_036984485.1,LOC110526525
XM_036984495.1,LOC110526525
XM_036984793.1,LOC110526525
XM_036984509.1,LOC110526525
XM_036984677.1,LOC110526525
XM_036984739.1,LOC110526525
XM_036984839.1,LOC110526525
XM_036989278.1,5987080
XM_036989280.1,mfsd8l1
XM_036984902.1,polr2h
XR_005052837.1,LOC110527749
XR_005052830.1,LOC110527749
XR_005052839.1,LOC110527749
XM_036985001.1,LOC110527749
XM_021609413.2,b3gnt7
XM_021609661.2,LOC110527966
XR_005053643.1,LOC118966759
XR_005053640.1,LOC118966757
XR_005053637.1,LOC118966754
XR_005053645.1,LOC118966761
XM_021609536.2,ncl
XR_005053636.1,LOC118966753
XR_005053634.1,LOC118966752
XR_005053644.1,LOC118966760
XR_005053639.1,LOC118966756
XR_005053638.1,LOC118966755
XR_002474189.2,LOC110528054
XM_021609986.2,LOC110528129
XM_036985429.1,alpi.1
XM_021610191.2,alpi.2
XM_021610103.2,alpi.2
XR_005052898.1,ankle1
XM_021610318.2,ankle1
XM_036985646.1,ankle1
XM_036989283.1,LOC118966183
XM_036985694.1,LOC110528450
XM_021610817.2,ddx59
XM_021610754.2,ddx59
XM_036985747.1,LOC110528753
XM_036985790.1,LOC110528753
XM_036986095.1,LOC110528839
XM_036986015.1,LOC110528839
XM_036985987.1,LOC110528839
XM_036986058.1,LOC110528839
XM_021611128.2,LOC110528925
XM_021611173.2,LOC110528925
XM_036986235.1,LOC110528925
XR_005053652.1,LOC118966768
XM_036986300.1,nmur1a
XM_021611230.2,dynlt2b
XM_021611340.2,dynlt2b
XM_021611403.2,dynlt2b
XM_021611283.2,dynlt2b
XM_021611474.2,dynlt2b
XM_021611590.2,LOC110529397
XM_036986834.1,LOC118965595
XM_036975274.1,LOC100135997
XM_036974755.1,LOC100135997
NM_001124334.1,annotated by transcript or proteomic data
XM_021611716.2,LOC110529481
XM_021611929.2,LOC110529566
XM_036989287.1,LOC110497697
XR_005039281.1,LOC118943893
XM_036989290.1,LOC110501328
XM_036989291.1,LOC110505168
XM_036986903.1,LOC110529671
XM_036986914.1,LOC110529671
XM_036986955.1,LOC110529747
XM_036987202.1,LOC110529807
XM_036987041.1,LOC110508833
XM_036987109.1,LOC110508833
XM_036989292.1,LOC110515166
XM_036988068.1,LOC110530501
XM_036988127.1,LOC110530501
XM_036987914.1,LOC118966038
XM_036987470.1,LOC110515173
XM_036987796.1,LOC110515722
XM_036987840.1,LOC110515722
XM_036987736.1,LOC110515722
XM_036987681.1,LOC110515722
XM_036988195.1,LOC110519734
XM_036988230.1,LOC110519734
XM_036987358.1,LOC118965988
XM_036987289.1,LOC118965988
XM_036987396.1,LOC118965988
XM_036987965.1,LOC118936489
XM_036988014.1,LOC118936489
XM_036987566.1,LOC110514907
XM_036987621.1,LOC110514907
XM_036987529.1,LOC110514907
XM_036988292.1,LOC118966070
XM_036988313.1,LOC118966070
XM_036989294.1,LOC110510915
XM_036989295.1,LOC118966266
XM_036988765.1,LOC118966096
XM_036988504.1,LOC110529913
XM_036988462.1,LOC110529913
XM_036988395.1,LOC110529913
XM_036988540.1,LOC110529913
XM_036988639.1,LOC118966084
XM_036988599.1,LOC118966084
XM_036988675.1,LOC118966084
XM_036989296.1,LOC110514872
XM_021615003.2,ndufb5
XM_036989225.1,usp13
XM_036989170.1,usp13
XM_036989273.1,usp13
XR_005053504.1,pex5la
XM_036989311.1,pex5la
XM_036989309.1,pex5la
XM_036989303.1,pex5la
XM_036989293.1,pex5la
XM_021614466.2,LOC110531220
XM_036989375.1,LOC110531220
XM_036989433.1,LOC110531220
XR_002474663.2,LOC110531326
XR_005053569.1,LOC110531326
XM_021614393.2,LOC110531147
XM_021614129.2,psmd1
XM_021614254.2,psmd1
XM_021614202.2,psmd1
XM_021614349.2,htr2b
XM_036990027.1,LOC110530621
XM_036989951.1,LOC110530621
XM_036989910.1,LOC110530621
XM_036989984.1,LOC110530621
XM_036990081.1,ppp1r2
XM_036990199.1,LOC118966743
XM_036990336.1,LOC118966743
XM_036990127.1,LOC118966743
XM_036990224.1,LOC118966743
XM_036990165.1,LOC118966743
XM_036990271.1,LOC118966743
XM_036933493.1,LOC118936718
XM_036933547.1,LOC118936718
XM_036933221.1,LOC118966784
XM_036990485.1,LOC118966784
XM_036990444.1,LOC118966784
XM_036933266.1,LOC118966784
XM_036933308.1,LOC118966784
XM_036990390.1,LOC118966781
XR_005034203.1,LOC118936726
XM_036933405.1,LOC110510917
XR_005034212.1,LOC118936730
XM_036933356.1,LOC118936706
XM_036989297.1,LOC118966297
XM_036933753.1,LOC118936734
XM_036933839.1,LOC118936734
XM_036933911.1,LOC118936734
XM_036933975.1,LOC118936734
XM_036937672.1,LOC110515168
XM_036937605.1,LOC110515168
XM_036937548.1,LOC110515168
XM_036937637.1,LOC110515168
XM_036934404.1,LOC118936861
XM_036934475.1,LOC118936861
XM_036934558.1,LOC118936861
XM_036934521.1,LOC118936861
XM_036989298.1,LOC118966312
XM_021595311.2,LOC110517099
XM_036938312.1,LOC118937727
XM_036935798.1,LOC110522382
XM_036935759.1,LOC110522382
XM_036935836.1,LOC110522382
XM_036935868.1,LOC110522382
XR_005035007.1,LOC110515622
XR_005035011.1,LOC110515622
XR_005035022.1,LOC110515622
XR_005035032.1,LOC110515622
XM_036937753.1,LOC110515622
XM_036935428.1,LOC118937346
XM_036935471.1,LOC118937346
XR_005034856.1,LOC118937622
XM_036936912.1,LOC118937622
XM_036935700.1,LOC118937363
XM_036935356.1,LOC118937339
XM_036935247.1,LOC118937339
XM_036935307.1,LOC118937339
XM_036937037.1,LOC110511241
XM_036936985.1,LOC110511241
XM_036937073.1,LOC110511241
XM_036937957.1,LOC118937687
XM_036937914.1,LOC118937687
XM_036934608.1,LOC118937070
XM_036934605.1,LOC118937070
XM_036934628.1,LOC118937070
XM_036934606.1,LOC118937070
XM_036934688.1,LOC118937070
XR_005034851.1,LOC110530072
XR_005034834.1,LOC110530072
XM_036936682.1,LOC110530072
XM_036936703.1,LOC110530072
XM_036935638.1,LOC118937357
XM_036935597.1,LOC118937357
XM_036935532.1,LOC118937357
XM_036936416.1,LOC118937403
XM_036936244.1,LOC110510916
XM_036936289.1,LOC110510916
XM_036936326.1,LOC110510916
XM_036936625.1,LOC118937415
XM_036936590.1,LOC118937415
XM_036936517.1,LOC118937415
XR_005035068.1,LOC110518492
