Orthogroup,Salar
OG0013478,XP_014014216.1
OG0013479,NP_001134819.1
OG0013479,XP_013984269.1
OG0013476,XP_013983934.1
OG0013476,XP_013988427.1
OG0013477,XP_014059540.1
OG0013474,XP_013984127.1
OG0013474,XP_013988989.1
OG0013475,XP_014047979.1
OG0013475,XP_014059816.1
OG0013472,XP_013987633.1
OG0013473,XP_013984123.1
OG0013470,XP_013985461.1
OG0013471,XP_013987445.1
OG0013471,XP_014044510.1
OG0010921,XP_014034954.1
OG0010920,XP_014000633.1
OG0010920,XP_014061211.1
OG0010923,XP_014058532.1
OG0010922,XP_014000727.1
OG0010922,XP_014060983.1
OG0010925,XP_013993626.1
OG0010924,XP_014034403.1
OG0010927,XP_014064751.1
OG0010926,XP_014050836.1
OG0010926,XP_014064377.1
OG0010929,XP_014049612.1
OG0010929,XP_014067142.1
OG0010928,XP_014052492.1
OG0015739,XP_014036531.1
OG0015738,XP_014036548.1
OG0016181,XP_013987843.1
OG0016180,NP_001139827.1
OG0016183,XP_013992960.1
OG0016182,XP_013992951.1
OG0016185,NP_001133644.1
OG0016184,XP_013992963.1
OG0016187,XP_013987844.1
OG0016186,XP_013992972.1
OG0016189,XP_013987841.1
OG0016188,XP_014022933.1
OG0023057,0
OG0023056,NP_001134420.1
OG0023055,XP_013990162.1
OG0023054,XP_013990221.1
OG0023053,XP_013990368.1
OG0023052,0
OG0023051,XP_013990313.1
OG0023050,XP_013990310.1
OG0028089,XP_013980232.1
OG0028088,XP_013979714.1
OG0028088,XP_014037901.1
OG0023059,XP_014010294.1
OG0023058,NP_001134959.1
OG0008878,NP_001134394.1
OG0008878,XP_014062648.1
OG0008879,XP_014012087.1
OG0008879,XP_014062892.1
OG0008876,XP_014011875.1
OG0008876,XP_014062711.1
OG0008877,XP_014011859.1
OG0008877,XP_014062826.1
OG0008874,XP_014011719.1
OG0008874,XP_014062813.1
OG0008875,XP_014011935.1
OG0008875,XP_014062740.1
OG0008872,XP_014011995.1
OG0008872,XP_014062785.1
OG0008873,XP_014012034.1
OG0008873,XP_014062780.1
OG0008870,XP_014037635.1
OG0008870,XP_014037636.1
OG0008870,XP_014037637.1
OG0008870,XP_014043899.1
OG0008870,XP_014044514.1
OG0008870,XP_014044678.1
OG0008870,XP_014044764.1
OG0008870,XP_014044785.1
OG0008870,XP_014044798.1
OG0008871,XP_014012025.1
OG0008871,XP_014062787.1
OG0013298,XP_013998833.1
OG0013299,XP_013998816.1
OG0013299,XP_014025960.1
OG0013292,XP_014030294.1
OG0013293,NP_001134585.1
OG0013290,XP_013989546.1
OG0013290,XP_014023732.1
OG0013291,XP_013989532.1
OG0013291,XP_014023730.1
OG0013296,XP_013998853.1
OG0013297,XP_013998817.1
OG0013297,XP_013998836.1
OG0013294,XP_013998877.1
OG0013295,XP_013998871.1
OG0013295,XP_013998926.1
OG0014129,XP_014054505.1
OG0014129,XP_014054506.1
OG0014128,XP_014068999.1
OG0014125,XP_014040467.1
OG0014125,XP_014049216.1
OG0014124,NP_001135366.1
OG0014127,XP_014054292.1
OG0014126,0
OG0014121,XP_014017897.1
OG0014121,XP_014017905.1
OG0014120,XP_014017634.1
OG0014123,XP_014048585.1
OG0014123,XP_014059706.1
OG0014122,XP_014007634.1
OG0027832,XP_014040088.1
OG0022018,XP_013995788.1
OG0022019,NP_001134993.1
OG0025048,0
OG0025049,0
OG0022014,XP_014060464.1
OG0022015,XP_014060470.1
OG0022016,NP_001167233.1
OG0022017,XP_013995820.1
OG0022010,XP_013995541.1
OG0022011,XP_013995924.1
OG0022012,XP_013995966.1
OG0022013,XP_014060432.1
OG0024311,XP_014050647.1
OG0024310,0
OG0024313,0
OG0024312,0
OG0024315,0
OG0024314,XP_014050614.1
OG0024317,0
OG0024316,NP_001180426.1
OG0024319,XP_014053993.1
OG0024318,XP_013979279.1
OG0024318,XP_014038756.1
OG0027834,0
OG0015733,XP_014036560.1
OG0019999,XP_014023704.1
OG0019998,NP_001134973.1
OG0015732,XP_014036517.1
OG0019993,XP_014022983.1
OG0019992,XP_014023136.1
OG0019991,XP_014023151.1
OG0019990,XP_014023186.1
OG0019997,0
OG0015731,XP_014036598.1
OG0019995,XP_014023024.1
OG0019994,XP_014022982.1
OG0015730,NP_001133442.1
OG0015737,XP_014015182.1
OG0015736,XP_014015183.1
OG0015298,XP_014019268.1
OG0015735,NP_001133227.1
OG0015294,NP_001133894.1
OG0015295,NP_001133697.1
OG0015296,XP_014019263.1
OG0015297,XP_014019265.1
OG0015290,XP_014019247.1
OG0015291,XP_014019239.1
OG0015292,NP_001140074.1
OG0015293,XP_014019223.1
OG0024499,XP_014049600.1
OG0024499,XP_014058536.1
OG0023835,XP_014000943.1
OG0023834,XP_014000909.1
OG0023837,XP_013989961.1
OG0023836,XP_014010497.1
OG0023831,0
OG0023830,0
OG0023833,0
OG0023832,0
OG0023839,XP_014010639.1
OG0023838,XP_013989815.1
OG0017124,XP_013998908.1
OG0017125,XP_013998655.1
OG0017126,XP_013998923.1
OG0017127,XP_014065620.1
OG0017120,XP_013997936.1
OG0017121,NP_001133591.1
OG0012334,XP_014017058.1
OG0012334,XP_014019311.1
OG0012334,XP_014042142.1
OG0012334,XP_014067096.1
OG0020568,XP_014019167.1
OG0020569,NP_001134274.1
OG0020566,XP_014019171.1
OG0020567,XP_014019172.1
