Chr,Start,End,Value
1,8875133,26014173,21
2,8183344,23791530,22
2,49170003,49277673,1
2,3388263,10590790,17
3,44018881,47419724,25
3,3098204,20702054,2
3,36962228,40863657,25
4,16367637,23271297,27
4,4425971,6315716,1
4,15566615,31460496,1
4,42323712,47054889,27
5,28050751,28159500,17
5,21192248,21293744,15
5,2875895,19146745,9
5,27727498,34959400,16
6,30739108,52308229,5
6,3751811,24207389,29
7,9847340,18152964,14
7,28866636,43758836,15
8,975969,28566556,7
9,14716626,37944406,10
10,6080284,16836502,18
10,30780591,50738676,4
11,13083787,17803775,4
11,17749322,22317139,20
12,6332437,15449295,18
12,17106716,27833023,9
13,9584209,29147175,6
13,33567412,52868197,20
14,26545554,43159080,9
14,1865952,20532312,5
14,31125614,31267238,2
15,18878716,19017846,12
15,5193297,11470738,12
15,27711894,31214401,12
15,46577336,48187139,12
16,2694794,2884157,28
16,7671364,29744005,28
17,4188942,25910150,23
18,1519059,5547474,8
18,14244017,41663715,1
19,15462610,26169638,11
19,6703057,12891391,11
20,19839428,25344233,13
20,4536894,9355623,13
20,31790239,31966211,13
20,1802995,1909081,13
20,33828945,66646538,3
21,17830532,23450708,6
21,3343421,7172737,2
21,24805412,24926361,11
22,12955276,26060974,19
22,28710263,29916844,13
22,46829276,63922398,13
23,6900212,20389305,19
23,32664802,40012700,17
24,33960213,52088720,10
24,6714535,24529359,15
25,17595389,42644416,16
26,8488903,8594358,6
26,3165981,21813149,3
27,60888262,61008815,3
27,2959444,3122611,24
27,10598147,18724301,24
27,30193814,32160101,24
27,44166820,61554015,26
28,48370363,58398805,11
28,26287200,40108092,1
9b,5654237,26050151,14
