Chr,Start,End,Value
1,8200030,37365193,23
1,44689526,44793320,3
1,51287382,74786573,1
2,23446809,23591168,26
2,4806009,45591258,12
3,46067475,65244049,25
3,6799445,22097843,2
3,11756496,17181698,5
3,44849857,45685708,25
4,56728251,69310764,26
4,2857796,28685792,20
4,5194345,646289,24
4,70595607,70753918,11
4,21571784,25059591,24
5,22283161,25545682,4
5,42394974,42848264,15
5,48929649,72294367,10
5,12495673,41371419,15
6,6657351,6772118,21
6,5250226,10654839,16
6,53034602,71575415,18
6,15134872,46237325,16
7,27738763,27866041,7
7,8606258,8736023,17
7,33903579,79712201,22
8,9149916,29514087,9
8,46323767,60836874,9
9,14806976,36968390,13
9,65321468,67127944,13
9,68698376,78021929,3
9,82673855,82540255,3
10,16754272,1874393,18
10,2823595,28537602,14
10,33756987,51372922,14
12,20417484,44847904,20
12,34145442,34257985,2
12,39157814,39441080,7
12,52324737,67483126,11
12,73089051,72749427,11
13,14950143,15233409,7
13,16296612,33797824,27
13,37178227,41610013,20
13,41785862,41900630,20
13,46770077,59638676,20
14,21903405,39669713,9
14,2534323,13280901,16
15,6268372,11668493,7
15,12450838,13720076,7
15,15618658,15733705,3
15,16828362,16971153,1
15,20589197,22063273,7
15,24916774,28771994,7
16,34449793,50836574,15
16,57271526,57693722,15
16,13739096,19046089,19
16,26339791,29347345,19
16,57271526,57693722,15
17,8898903,19192947,17
18,9485311,15704342,6
18,22662135,22774151,6
19,19373921,46245744,20
20,22279729,22385373,25
20,3960432,36910044,1
21,3426122,4155862,5
21,9960240,20172701,5
21,27026740,27205202,5
22,6871097,17896558,13
22,28890786,28766866,13
23,3529796,3387692,5
23,8841094,9013673,5
23,10758765,10915862,2
23,11348562,19134363,5
24,21896194,22006735,19
24,9622013,19017057,19
25,6046399,33015369,28
26,549814,13515016,21
26,26858855,35019694,21
27,2322447,17539852,6
28,6123273,19869005,3
28,21108178,25056005,3
29,15522487,25604190,29
30,16920121,36132668,4
31,9515511,34102655,14
32,9345424,9473630,2
33,13006417,22124850,11
33,27142002,32818981,11
34,1719280,1893722,4
34,6596123,6703084,4
